"";"name_muni";"abbrev_state";"26/03/2024";"01/04/2024";"05/04/2024";"08/04/2024";"09/04/2024";"10/04/2024";"12/04/2024";"15/04/2024";"16/04/2024";"17/04/2024";"18/04/2024";"19/04/2024";"22/04/2024";"23/04/2024";"24/04/2024";"25/04/2024";"26/04/2024";"29/04/2024";"30/04/2024";"02/05/2024";"03/05/2024";"06/05/2024";"07/05/2024";"08/05/2024";"code_muni"
"1";"ACEGUA";"RS";NA;NA;NA;NA;NA;NA;NA;NA;"300000";NA;NA;NA;NA;"100000";NA;NA;NA;NA;NA;NA;NA;NA;NA;"323812";4300034
"2";"AGUASANTA";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;"238750";NA;NA;"400000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4300059
"3";"AGUDO";"RS";NA;NA;NA;"238750";NA;NA;NA;NA;NA;NA;NA;NA;NA;"600000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4300109
"4";"AJURICABA";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100000";NA;NA;NA;NA;NA;NA;NA;NA;NA;4300208
"5";"ALECRIM";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"720000";NA;NA;NA;NA;NA;NA;NA;NA;"84388";4300307
"6";"ALEGRETE";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400000";NA;NA;NA;"300000";"100000";NA;NA;NA;NA;4300406
"7";"ALTOALEGRE";"RS";NA;NA;NA;NA;NA;NA;NA;NA;"100000";"238750";NA;NA;"150000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4300554
"8";"ALTOFELIZ";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"594000";NA;NA;NA;NA;NA;NA;NA;NA;NA;4300570
"9";"ALVORADA";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"600000";NA;NA;NA;"250000";NA;NA;"150000";NA;NA;4300604
"10";"AMARALFERRADOR";"RS";NA;NA;NA;NA;NA;NA;NA;NA;"400000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4300638
"11";"AMETISTADOSUL";"RS";NA;NA;NA;NA;NA;NA;NA;NA;"100000";NA;NA;NA;"200000";"600000";NA;NA;NA;NA;NA;NA;NA;NA;NA;"250000";4300646
"12";"ANTAGORDA";"RS";NA;NA;NA;NA;NA;NA;NA;NA;"200000";NA;NA;NA;NA;"150000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4300703
"13";"ANTONIOPRADO";"RS";NA;NA;NA;NA;NA;NA;NA;NA;"800000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4300802
"14";"ARAMBARE";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100000";NA;NA;NA;NA;NA;NA;NA;NA;NA;"484040";4300851
"15";"ARARICA";"RS";NA;NA;NA;"238750";NA;NA;NA;NA;"50000";NA;NA;NA;"130000";"587000";NA;NA;NA;NA;NA;NA;NA;NA;NA;"134951";4300877
"16";"ARATIBA";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"200000";"100000";NA;NA;NA;NA;NA;NA;NA;NA;4300901
"17";"ARROIODOMEIO";"RS";NA;NA;NA;NA;NA;NA;NA;NA;"300000";NA;NA;NA;"100000";"600000";"150000";NA;NA;NA;NA;NA;NA;NA;NA;NA;4301008
"18";"ARROIODOPADRE";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"200000";4301073
"19";"ARROIODOSAL";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;"191000";NA;NA;"300000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4301057
"20";"ARROIODOSRATOS";"RS";NA;NA;NA;NA;NA;NA;NA;NA;"450000";NA;NA;NA;"100000";"400000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4301107
"21";"ARROIODOTIGRE";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"450000";NA;NA;NA;NA;NA;"100000";NA;NA;NA;NA;"304800";4301206
"22";"ARROIOGRANDE";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"250000";NA;NA;NA;NA;NA;NA;NA;NA;NA;"519696";4301305
"23";"ARVOREZINHA";"RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"50000";"350000";NA;NA;NA;NA;NA;NA;"413275";NA;NA;"239258";4301404
"24";"AUGUSTOPESTANA";"RS";NA;NA;NA;NA;NA;NA;NA;"100000";NA;NA;NA;NA;NA;"100000";NA;"100000";NA;NA;NA;NA;NA;NA;NA;NA;4301503
