cod_siafi_municipio,municipio,uf,estado,data_emissao,moviment_liquida,moviment_liquida_acum,saldo,Unnamed: 0,code_muni,name_muni
952,ARARICA,RS,RIO GRANDE DO SUL,08/04/2024,238750,477500,477500,21.0,4300877.0,ARARICA
952,ARARICA,RS,RIO GRANDE DO SUL,16/04/2024,50000,100000,100000,21.0,4300877.0,ARARICA
952,ARARICA,RS,RIO GRANDE DO SUL,22/04/2024,130000,260000,260000,21.0,4300877.0,ARARICA
952,ARARICA,RS,RIO GRANDE DO SUL,23/04/2024,587000,1174000,1174000,21.0,4300877.0,ARARICA
952,ARARICA,RS,RIO GRANDE DO SUL,08/05/2024,134951,134951,134951,21.0,4300877.0,ARARICA
954,BALNEARIO PINHAL,RS,RIO GRANDE DO SUL,24/04/2024,700000,1400000,1400000,33.0,4301636.0,BALNEARIO PINHAL
954,BALNEARIO PINHAL,RS,RIO GRANDE DO SUL,30/04/2024,150000,300000,300000,33.0,4301636.0,BALNEARIO PINHAL
954,BALNEARIO PINHAL,RS,RIO GRANDE DO SUL,08/05/2024,351101,351101,351101,33.0,4301636.0,BALNEARIO PINHAL
956,BARRA DO QUARAI,RS,RIO GRANDE DO SUL,24/04/2024,100000,200000,200000,39.0,4301875.0,BARRA DO QUARAI
958,BENJAMIN CONSTANT DO SUL,RS,RIO GRANDE DO SUL,24/04/2024,527657,1055314,1055314,44.0,4302055.0,BENJAMIN CONSTANT DO SUL
960,BOA VISTA DO SUL,RS,RIO GRANDE DO SUL,24/04/2024,115000,230000,230000,50.0,4302253.0,BOA VISTA DO SUL
960,BOA VISTA DO SUL,RS,RIO GRANDE DO SUL,08/05/2024,180000,180000,180000,50.0,4302253.0,BOA VISTA DO SUL
964,CARAA,RS,RIO GRANDE DO SUL,09/04/2024,238750,477500,477500,92.0,4304713.0,CARAA
964,CARAA,RS,RIO GRANDE DO SUL,12/04/2024,286500,573000,573000,92.0,4304713.0,CARAA
966,CERRITO,RS,RIO GRANDE DO SUL,23/04/2024,450000,900000,900000,100.0,4305124.0,CERRITO
968,CHUI,RS,RIO GRANDE DO SUL,16/04/2024,200000,400000,400000,109.0,4305439.0,CHUI
968,CHUI,RS,RIO GRANDE DO SUL,08/05/2024,199947,199947,199947,109.0,4305439.0,CHUI
970,CHUVISCA,RS,RIO GRANDE DO SUL,24/04/2024,436354,872708,872708,110.0,4305447.0,CHUVISCA
