"";"code_muni";"name_muni"
"1";4300001;"LAGOA MIRIM"
"2";4300002;"LAGOA DOS PATOS"
"3";4300034;"ACEGUA"
"4";4300059;"AGUA SANTA"
"5";4300109;"AGUDO"
"6";4300208;"AJURICABA"
"7";4300307;"ALECRIM"
"8";4300406;"ALEGRETE"
"9";4300455;"ALEGRIA"
"10";4300471;"ALMIRANTE TAMANDARE DO SUL"
"11";4300505;"ALPESTRE"
"12";4300554;"ALTO ALEGRE"
"13";4300570;"ALTO FELIZ"
"14";4300604;"ALVORADA"
"15";4300638;"AMARAL FERRADOR"
"16";4300646;"AMETISTA DO SUL"
"17";4300661;"ANDRE DA ROCHA"
"18";4300703;"ANTA GORDA"
"19";4300802;"ANTONIO PRADO"
"20";4300851;"ARAMBARE"
"21";4300877;"ARARICA"
"22";4300901;"ARATIBA"
"23";4301008;"ARROIO DO MEIO"
"24";4301057;"ARROIO DO SAL"
"25";4301073;"ARROIO DO PADRE"
"26";4301107;"ARROIO DOS RATOS"
"27";4301206;"ARROIO DO TIGRE"
"28";4301305;"ARROIO GRANDE"
"29";4301404;"ARVOREZINHA"
"30";4301503;"AUGUSTO PESTANA"
"31";4301552;"AUREA"
"32";4301602;"BAGE"
"33";4301636;"BALNEARIO PINHAL"
"34";4301651;"BARAO"
"35";4301701;"BARAO DE COTEGIPE"
"36";4301750;"BARAO DO TRIUNFO"
"37";4301800;"BARRACAO"
"38";4301859;"BARRA DO GUARITA"
"39";4301875;"BARRA DO QUARAI"
"40";4301909;"BARRA DO RIBEIRO"
"41";4301925;"BARRA DO RIO AZUL"
"42";4301958;"BARRA FUNDA"
"43";4302006;"BARROS CASSAL"
"44";4302055;"BENJAMIN CONSTANT DO SUL"
"45";4302105;"BENTO GONCALVES"
"46";4302154;"BOA VISTA DAS MISSOES"
"47";4302204;"BOA VISTA DO BURICA"
"48";4302220;"BOA VISTA DO CADEADO"
"49";4302238;"BOA VISTA DO INCRA"
"50";4302253;"BOA VISTA DO SUL"
"51";4302303;"BOM JESUS"
"52";4302352;"BOM PRINCIPIO"
"53";4302378;"BOM PROGRESSO"
"54";4302402;"BOM RETIRO DO SUL"
"55";4302451;"BOQUEIRAO DO LEAO"
"56";4302501;"BOSSOROCA"
"57";4302584;"BOZANO"
"58";4302600;"BRAGA"
"59";4302659;"BROCHIER"
"60";4302709;"BUTIA"
"61";4302808;"CACAPAVA DO SUL"
"62";4302907;"CACEQUI"
"63";4303004;"CACHOEIRA DO SUL"
"64";4303103;"CACHOEIRINHA"
"65";4303202;"CACIQUE DOBLE"
"66";4303301;"CAIBATE"
"67";4303400;"CAICARA"
"68";4303509;"CAMAQUA"
"69";4303558;"CAMARGO"
"70";4303608;"CAMBARA DO SUL"
"71";4303673;"CAMPESTRE DA SERRA"
"72";4303707;"CAMPINA DAS MISSOES"
"73";4303806;"CAMPINAS DO SUL"
"74";4303905;"CAMPO BOM"
"75";4304002;"CAMPO NOVO"
"76";4304101;"CAMPOS BORGES"
"77";4304200;"CANDELARIA"
"78";4304309;"CANDIDO GODOI"
"79";4304358;"CANDIOTA"
"80";4304408;"CANELA"
"81";4304507;"CANGUCU"
"82";4304606;"CANOAS"
